,gmid10_id,gmid15_id,gmid10_vgs,gmid15_vgs,gmid10_vth,gmid15_vth,gmid10_vdsat,gmid15_vdsat,gmid10_rds,gmid15_rds,gmid10_gmrds,gmid15_gmrds,gmid10_gmrds_db,gmid15_gmrds_db,name,type,time,OK
0,5.103581,0.03582318,-733.8154,-374.4316,628.3008,653.2162999999999,132.8304,41.590309999999995,0.9299575,74.26337,47.36773,39.63002,33.50965,31.96039,dc_SchGtKttmmTtVt_19,Sch,Sat Dec 14 11:16:33 2024,True
1,5.414594,0.03499139,-755.6073,-393.1033,642.9869,665.9161,135.7081,41.42217,0.8822836,75.8895,47.67433,39.59468,33.56569,31.95267,dc_SchGtKttmmTtVt_18,Sch,Sat Dec 14 11:16:33 2024,True
2,5.6049560000000005,0.03500777,-752.8616000000001,-391.472,635.7180999999999,658.5012999999999,137.8757,41.46007,0.8594253000000001,75.89147,48.08941,39.71263,33.64098,31.97855,dc_SchGtKttmmTtVt_17,Sch,Sat Dec 14 11:16:33 2024,True
3,5.355506,0.03435199,-775.596,-410.585,663.7659,685.1736000000001,134.8397,41.19961,0.8810433,76.25135,47.08846,39.2308,33.45829,31.87253,dc_SchGtKttmmTtVt_16,Sch,Sat Dec 14 11:16:33 2024,True
4,5.547124999999999,0.03634632,-749.3440999999999,-388.46619999999996,636.4250000000001,659.5695999999999,136.4057,41.636520000000004,0.875624,74.00787,48.5468,40.20019,33.72321,32.08452,dc_SchGtKttmmTtVt_15,Sch,Sat Dec 14 11:16:33 2024,True
5,5.773345,0.03673009,-774.2481,-411.8831,657.7158,678.4419,137.823,41.50515,0.8460129,73.35562,48.74522,40.24435,33.75863,32.09406,dc_SchGtKttmmTtVt_14,Sch,Sat Dec 14 11:16:33 2024,True
6,5.567489,0.03481424,-733.3979,-373.8127,615.7797,640.1226,138.3177,41.57238,0.8667385,76.56651,48.16566,39.72016,33.65474,31.98017,dc_SchGtKttmmTtVt_13,Sch,Sat Dec 14 11:16:33 2024,True
7,5.214778,0.03437051,-749.2034,-386.84069999999997,639.3219,663.1029000000001,134.25300000000001,41.365730000000006,0.9032591,76.6084,47.07381,39.25518,33.45559,31.87786,dc_SchGtKttmmTtVt_12,Sch,Sat Dec 14 11:16:33 2024,True
8,5.212139,0.03704391,-750.9546,-390.9185,645.8793000000001,669.2072000000001,132.7422,41.60656,0.9179163,72.14748999999999,47.80912,39.99682,33.59021,32.04048,dc_SchGtKttmmTtVt_11,Sch,Sat Dec 14 11:16:33 2024,True
9,5.197374,0.03514548,-754.5703,-392.384,646.6709000000001,669.9564,133.4708,41.395599999999995,0.909424,75.14835,47.16898,39.41688,33.47313,31.91358,dc_SchGtKttmmTtVt_10,Sch,Sat Dec 14 11:16:33 2024,True
10,5.976295,0.03805426,-777.6301,-421.8078,652.5790999999999,671.8609,141.2079,41.38854,0.8105859999999999,69.83654,48.37029,39.70037,33.69156,31.97588,dc_SchGtKttmmTtVt_9,Sch,Sat Dec 14 11:16:33 2024,True
11,5.748279,0.03600896,-756.698,-396.2969,637.9262,660.0662000000001,138.8172,41.53011,0.8463310999999999,74.53904,48.55978,39.99765,33.72553,32.04064,dc_SchGtKttmmTtVt_8,Sch,Sat Dec 14 11:16:33 2024,True
12,5.522101,0.03511747,-746.1900999999999,-385.0086,631.0369999999999,654.5233999999999,137.0901,41.51769,0.8721165,76.01535,48.06428,39.76157,33.63645,31.9892,dc_SchGtKttmmTtVt_7,Sch,Sat Dec 14 11:16:33 2024,True
13,5.404161,0.03668279,-752.4526000000001,-391.5026,643.1544,666.2211,134.7015,41.61471,0.8938166,73.18733,48.22961,40.12818,33.66627,32.06895,dc_SchGtKttmmTtVt_6,Sch,Sat Dec 14 11:16:33 2024,True
14,5.349635999999999,0.03575833,-749.3877,-388.0272,639.3883999999999,662.8471999999999,134.7862,41.537,0.8951646,74.58539999999999,47.86478,39.82636,33.60032,32.00335,dc_SchGtKttmmTtVt_5,Sch,Sat Dec 14 11:16:33 2024,True
15,5.749925,0.035361069999999994,-780.7174,-418.1789,660.7346,680.8151,138.7192,41.26067,0.834094,74.86353,47.93394,39.54207,33.61286,31.94116,dc_SchGtKttmmTtVt_4,Sch,Sat Dec 14 11:16:33 2024,True
16,5.842873,0.03659197,-763.4671,-403.4936,643.4292,664.7861,139.4068,41.52785,0.8358857,73.5213,48.74886,40.0992,33.75928,32.06267,dc_SchGtKttmmTtVt_3,Sch,Sat Dec 14 11:16:33 2024,True
17,5.367376,0.036245200000000005,-747.3665000000001,-386.5517,637.7823999999999,661.3236,134.7661,41.59985,0.8968138999999999,74.01196,48.057,39.98309,33.63513,32.03745,dc_SchGtKttmmTtVt_2,Sch,Sat Dec 14 11:16:33 2024,True
18,4.959702,0.03483875,-745.3723,-384.42769999999996,641.3067,665.6062000000001,131.5934,41.36136,0.9393176,75.26966999999999,46.49075,39.06315,33.34733,31.83525,dc_SchGtKttmmTtVt_1,Sch,Sat Dec 14 11:16:33 2024,True
19,5.388306999999999,0.0355124,-762.3171,-399.49800000000005,651.6383,674.0251000000001,134.8706,41.42697,0.8870175,74.66499,47.72544,39.71894,33.575,31.97993,dc_SchGtKttmmTtVt,Sch,Sat Dec 14 11:16:33 2024,True
