,gmid10_id,gmid15_id,gmid10_vgs,gmid15_vgs,gmid10_vth,gmid15_vth,gmid10_vdsat,gmid15_vdsat,gmid10_rds,gmid15_rds,gmid10_gmrds,gmid15_gmrds,gmid10_gmrds_db,gmid15_gmrds_db,name,type,time,OK
0,44.54236,0.03339005,-861.2449,-426.7652,725.4359000000001,787.9321,135.5906,32.05818,0.06788658,50.5913,30.20677,25.148,29.60208,28.01007,dc_SchGtKfsTlVt,Sch,Sat Dec 14 11:16:48 2024,True
1,31.67636,7.503848,-920.8308,-818.4769,765.1109,780.3154,138.9824,74.66069,0.1584126,0.4573248,50.14167,51.31056,34.00396,34.20412,dc_SchGtKsfTlVt,Sch,Sat Dec 14 11:16:48 2024,True
2,44.86553,6.976699999999999,-873.2187,-741.9683,728.4437,745.5373,139.98489999999998,64.27083,0.07447662,0.3127887,33.34404,32.60331,30.46035,30.26519,dc_SchGtKffTlVt,Sch,Sat Dec 14 11:16:48 2024,True
3,32.5592,7.120656,-912.9853,-805.3886,761.5268,777.2951,137.1538,71.53363999999999,0.143878,0.4465838,46.74792,47.40616,33.3952,33.51666,dc_SchGtKssTlVt,Sch,Sat Dec 14 11:16:48 2024,True
4,29.13196,0.0107176,-731.5409999999999,-169.10729999999998,636.6583999999999,696.1944,132.4329,42.64844,0.1016771,164.3859,29.58752,26.36054,29.42217,28.41906,dc_SchGtKfsTahVt,Sch,Sat Dec 14 11:16:48 2024,True
5,25.4502,3.78461,-835.4631,-687.0128,699.4717,703.0402,146.5843,69.96083,0.1950152,0.8719914,49.53064,49.28103,33.89745,33.85357,dc_SchGtKsfTahVt,Sch,Sat Dec 14 11:16:48 2024,True
6,30.52462,0.030698919999999998,-752.5600000000001,-268.5754,643.2669,691.2242,139.2429,42.17323,0.1073252,62.70236,32.70793,28.76505,30.29306,29.17727,dc_SchGtKffTahVt,Sch,Sat Dec 14 11:16:48 2024,True
7,25.27815,2.322468,-819.5673,-638.3492,692.4958,698.841,142.2321,59.51353,0.1823754,1.2714079999999999,46.0851,44.1516,33.27121,32.8989,dc_SchGtKssTahVt,Sch,Sat Dec 14 11:16:48 2024,True
