,gmid10_id,gmid15_id,gmid10_vgs,gmid15_vgs,gmid10_vth,gmid15_vth,gmid10_vdsat,gmid15_vdsat,gmid10_rds,gmid15_rds,gmid10_gmrds,gmid15_gmrds,gmid10_gmrds_db,gmid15_gmrds_db,name,type,time,OK
0,12.32159,2.967867,-975.4012,-871.7375000000001,815.1074,826.9566000000001,136.93959999999998,75.47585,5.104629,17.81197,627.3112,789.9827,55.94873,57.95229,dc_SchGtKfsTlVt,Sch,Sat Dec 14 11:16:51 2024,True
1,9.2579,2.279685,-1024.5249999999999,-917.6911,858.3729,866.0174000000001,129.3644,71.45311,6.949673,23.850199999999997,641.826,811.9706,56.14752,58.19073,dc_SchGtKsfTlVt,Sch,Sat Dec 14 11:16:51 2024,True
2,12.8065,3.2805429999999998,-986.0573,-885.2355,821.0574,831.1477000000001,143.7176,80.81968,4.932834,16.43635,630.135,803.5944,55.98773,58.10059,dc_SchGtKffTlVt,Sch,Sat Dec 14 11:16:51 2024,True
3,8.795045,2.042724,-1011.6670000000001,-902.1886,850.7543,860.6567,121.0942,65.7072,7.273984,26.12754,638.8807,797.1687,56.10796,58.03095,dc_SchGtKssTlVt,Sch,Sat Dec 14 11:16:51 2024,True
4,9.747964,0.8511559999999999,-925.8992000000001,-737.3547,785.9798,785.9544000000001,151.26700000000002,61.9378,6.3887089999999995,54.94097,621.3834,698.5431,55.8666,56.88369,dc_SchGtKfsTahVt,Sch,Sat Dec 14 11:16:51 2024,True
5,7.736663,1.495676,-993.3091,-859.3201,843.4343,840.9001000000001,149.0826,77.60003999999999,8.245223,35.41654,636.6313,793.5827,56.07713,57.99184,dc_SchGtKsfTahVt,Sch,Sat Dec 14 11:16:51 2024,True
6,9.983827,1.3385129999999998,-938.9269,-779.4293,793.9585,792.4993999999999,157.4924,72.91341,6.262483,37.082519999999995,624.675,743.7194,55.91283,57.42816,dc_SchGtKffTahVt,Sch,Sat Dec 14 11:16:51 2024,True
7,7.508284,1.308112,-978.461,-836.711,833.8104,831.6154,141.4854,71.22623,8.448535,39.733869999999996,633.573,776.2581,56.03561,57.80012,dc_SchGtKssTahVt,Sch,Sat Dec 14 11:16:51 2024,True
