,gmid10_id,gmid15_id,gmid10_vgs,gmid15_vgs,gmid10_vth,gmid15_vth,gmid10_vdsat,gmid15_vdsat,gmid10_rds,gmid15_rds,gmid10_gmrds,gmid15_gmrds,gmid10_gmrds_db,gmid15_gmrds_db,name,type,time,OK
0,8.099409999999999,2.301976,641.2766,547.5576,481.70039999999995,490.7384,163.24540000000002,98.66036,1.97424,4.788891,159.7349,164.7127,44.06793,44.3345,dc_SchGtKttmmTtVt_19,Sch,Sat Dec 14 11:16:56 2024,True
1,8.087456,2.284961,637.2243,543.1381,478.30830000000003,487.4521,163.08800000000002,98.37439,1.9766139999999999,4.814209,159.5467,164.2641,44.05765,44.31081,dc_SchGtKttmmTtVt_18,Sch,Sat Dec 14 11:16:56 2024,True
2,8.19465,2.3599539999999997,640.7850999999999,548.0155,479.96250000000003,488.9126,163.9023,99.51352,1.956235,4.698143,160.1981,165.7501,44.0931,44.38904,dc_SchGtKttmmTtVt_17,Sch,Sat Dec 14 11:16:56 2024,True
3,8.272677999999999,2.424419,643.5621,552.0310000000001,480.3023,489.1153,164.8364,100.679,1.948059,4.61466,160.8057,167.2559,44.12587,44.46761,dc_SchGtKttmmTtVt_16,Sch,Sat Dec 14 11:16:56 2024,True
4,7.922365,2.142448,635.6536000000001,538.5579,480.90139999999997,490.32300000000004,161.3306,95.90587000000001,2.003253,5.028632,158.3313,161.1788,43.99123,44.14612,dc_SchGtKttmmTtVt_15,Sch,Sat Dec 14 11:16:56 2024,True
5,8.099447,2.294836,641.7585,547.821,482.5419,491.5803,163.1157,98.4846,1.9738319999999998,4.796181,159.652,164.5007,44.0634,44.32331,dc_SchGtKttmmTtVt_14,Sch,Sat Dec 14 11:16:56 2024,True
6,8.261678,2.3956820000000003,643.7735,551.4884,482.0638,490.9034,164.29270000000002,100.0011,1.9466709999999998,4.642929,160.4689,166.4079,44.10767,44.42346,dc_SchGtKttmmTtVt_13,Sch,Sat Dec 14 11:16:56 2024,True
7,8.089036,2.2916849999999998,641.4554,547.504,482.2389,491.2897,163.09679999999997,98.46418999999999,1.975792,4.803545,159.6362,164.4689,44.06256,44.32163,dc_SchGtKttmmTtVt_12,Sch,Sat Dec 14 11:16:56 2024,True
8,8.2484,2.397536,644.2900000000001,552.1479,482.16249999999997,490.9961,164.3871,100.1259,1.950659,4.647978999999999,160.5228,166.5718,44.11058,44.43201,dc_SchGtKttmmTtVt_11,Sch,Sat Dec 14 11:16:56 2024,True
9,8.181312,2.344806,647.5869,554.3059000000001,487.3254,496.1678,163.5346,99.10567,1.9594479999999999,4.724838,160.0244,165.3335,44.08362,44.36717,dc_SchGtKttmmTtVt_10,Sch,Sat Dec 14 11:16:56 2024,True
10,7.993055,2.218856,633.4547,538.2433,476.1124,485.4373,162.4168,97.4043,1.9937539999999998,4.913374,159.0196,163.0271,44.02889,44.24515,dc_SchGtKttmmTtVt_9,Sch,Sat Dec 14 11:16:56 2024,True
11,7.938470999999999,2.1733450000000003,638.6418,542.3062,482.8435,492.1515,161.65370000000001,96.46779,2.000406,4.985599,158.6199,161.9314,44.0071,44.18658,dc_SchGtKttmmTtVt_8,Sch,Sat Dec 14 11:16:56 2024,True
12,8.063173,2.2504839999999997,635.7451,540.9108,478.0351,487.25649999999996,162.66,97.74654000000001,1.979504,4.851351999999999,159.2359,163.4874,44.04069,44.26967,dc_SchGtKttmmTtVt_7,Sch,Sat Dec 14 11:16:56 2024,True
13,8.033358,2.244727,638.3290999999999,543.4185,480.6246,489.8141,162.52800000000002,97.65997,1.984483,4.875490999999999,159.2042,163.3921,44.03902,44.26457,dc_SchGtKttmmTtVt_6,Sch,Sat Dec 14 11:16:56 2024,True
14,8.357049,2.468427,646.4289,555.3339000000001,482.5976,491.28880000000004,165.1661,101.1386,1.931935,4.556057,161.095,167.8167,44.14149,44.49667,dc_SchGtKttmmTtVt_5,Sch,Sat Dec 14 11:16:56 2024,True
15,8.170646,2.342359,639.5186,546.3868,479.3456,488.3479,163.6569,99.1964,1.959396,4.727789,160.023,165.3057,44.08363,44.36571,dc_SchGtKttmmTtVt_4,Sch,Sat Dec 14 11:16:56 2024,True
16,7.890163,2.1394689999999996,636.281,539.4278,481.02450000000005,490.4403,161.4059,96.04087,2.011737,5.035436,158.3725,161.4108,43.99349,44.15863,dc_SchGtKttmmTtVt_3,Sch,Sat Dec 14 11:16:56 2024,True
17,8.167471,2.336073,641.9678,548.7395,481.76000000000005,490.7243,163.606,99.11576,1.961803,4.728318,159.9916,165.2972,44.08185,44.36528,dc_SchGtKttmmTtVt_2,Sch,Sat Dec 14 11:16:56 2024,True
18,7.762016,2.042197,631.697,532.6707,479.15439999999995,488.85630000000003,160.28220000000002,94.37518,2.032628,5.218243,157.5642,159.1961,43.94909,44.03858,dc_SchGtKttmmTtVt_1,Sch,Sat Dec 14 11:16:56 2024,True
19,8.242241,2.39586,639.2759,547.1641000000001,477.4485,486.3742,164.38539999999998,100.1184,1.948589,4.6516459999999995,160.5011,166.4531,44.10952,44.4258,dc_SchGtKttmmTtVt,Sch,Sat Dec 14 11:16:56 2024,True
