,gmid10_id,gmid15_id,gmid10_vgs,gmid15_vgs,gmid10_vth,gmid15_vth,gmid10_vdsat,gmid15_vdsat,gmid10_rds,gmid15_rds,gmid10_gmrds,gmid15_gmrds,gmid10_gmrds_db,gmid15_gmrds_db,name,type,time,OK
0,9.688133,3.148375,713.1813999999999,630.2761999999999,549.4574,558.3979,160.7968,100.05600000000001,1.635861,3.516745,158.1467,165.9883,43.98105,44.40155,dc_SchGtKfsTlVt,Sch,Sat Dec 14 11:16:56 2024,True
1,13.22131,4.439917,660.2386,581.6388000000001,497.898,508.95210000000003,149.52009999999999,94.57383,1.190822,2.498083,157.4047,165.8746,43.94033,44.3956,dc_SchGtKsfTlVt,Sch,Sat Dec 14 11:16:56 2024,True
2,13.2962,4.454317,669.3878,590.3497,507.1331,517.7203000000001,152.1026,96.15691,1.1830319999999999,2.483088,157.2014,165.7869,43.92908,44.391,dc_SchGtKffTlVt,Sch,Sat Dec 14 11:16:56 2024,True
3,9.565499,3.102916,703.4622,620.9399,539.3192,549.0299,155.079,96.30271,1.656723,3.568578,158.1162,165.7983,43.97937,44.3916,dc_SchGtKssTlVt,Sch,Sat Dec 14 11:16:56 2024,True
4,6.755142,1.891729,666.3632,570.2334999999999,506.8842,514.2892,169.1402,101.51480000000001,2.3753159999999998,5.813606,160.1096,164.8908,44.08823,44.34393,dc_SchGtKfsTahVt,Sch,Sat Dec 14 11:16:56 2024,True
5,9.465586,2.7648449999999998,613.3275,523.011,452.8059,463.3732,158.78619999999998,97.14952000000001,1.6949219999999998,4.018268,160.085,165.8998,44.08687,44.39689,dc_SchGtKsfTahVt,Sch,Sat Dec 14 11:16:56 2024,True
6,9.461837,2.755294,621.9961000000001,531.0861,462.3477,472.3111,161.1473,98.51584,1.689873,4.013284,159.6467,165.5286,44.0631,44.37745,dc_SchGtKffTahVt,Sch,Sat Dec 14 11:16:56 2024,True
7,6.729158,1.885135,657.4616,561.8318,496.5054,504.7073,163.77839999999998,98.13381,2.3880019999999997,5.855149,160.4033,165.0604,44.10417,44.35283,dc_SchGtKssTahVt,Sch,Sat Dec 14 11:16:56 2024,True
